id,stateabb,ccode,year
829,SWD,380,1990
830,SWD,380,1995
831,SWD,380,2000
832,SWD,380,2005
833,SWD,380,2010
834,NOR,385,1945
835,NOR,385,1950
836,NOR,385,1955
837,NOR,385,1960
838,NOR,385,1965
839,NOR,385,1970
840,NOR,385,1975
841,NOR,385,1980
842,NOR,385,1985
843,NOR,385,1990
844,NOR,385,1995
845,NOR,385,2000
846,NOR,385,2005
847,NOR,385,2010
848,DEN,390,1945
849,DEN,390,1950
850,DEN,390,1955
851,DEN,390,1960
852,DEN,390,1965
853,DEN,390,1970
854,DEN,390,1975
855,DEN,390,1980
856,DEN,390,1985
857,DEN,390,1990
858,DEN,390,1995
859,DEN,390,2000
860,DEN,390,2005
861,DEN,390,2010
862,ICE,395,1945
863,ICE,395,1950
864,ICE,395,1955
865,ICE,395,1960
866,ICE,395,1965
867,ICE,395,1970
868,ICE,395,1975
869,ICE,395,1980
870,ICE,395,1985
871,ICE,395,1990
872,ICE,395,1995
873,ICE,395,2000
874,ICE,395,2005
875,ICE,395,2010
876,CAP,402,1975
877,CAP,402,1980
878,CAP,402,1985
879,CAP,402,1990
880,CAP,402,1995
881,CAP,402,2000
882,CAP,402,2005
883,CAP,402,2010
884,STP,403,1975
885,STP,403,1980
886,STP,403,1985
887,STP,403,1990
888,STP,403,1995
889,STP,403,2000
890,STP,403,2005
891,STP,403,2010
892,GNB,404,1975
893,GNB,404,1980
894,GNB,404,1985
895,GNB,404,1990
896,GNB,404,1995
897,GNB,404,2000
898,GNB,404,2005
899,GNB,404,2010
900,EQG,411,1970
901,EQG,411,1975
902,EQG,411,1980
903,EQG,411,1985
904,EQG,411,1990
905,EQG,411,1995
906,EQG,411,2000
907,EQG,411,2005
908,EQG,411,2010
909,GAM,420,1965
910,GAM,420,1970
911,GAM,420,1975
912,GAM,420,1980
913,GAM,420,1985
914,GAM,420,1990
915,GAM,420,1995
916,GAM,420,2000
917,GAM,420,2005
918,GAM,420,2010
919,MLI,432,1960
920,MLI,432,1965
921,MLI,432,1970
922,MLI,432,1975
923,MLI,432,1980
924,MLI,432,1985
925,MLI,432,1990
926,MLI,432,1995
927,MLI,432,2000
928,MLI,432,2005
929,MLI,432,2010
930,SEN,433,1960
931,SEN,433,1965
932,SEN,433,1970
933,SEN,433,1975
934,SEN,433,1980
935,SEN,433,1985
936,SEN,433,1990
937,SEN,433,1995
938,SEN,433,2000
939,SEN,433,2005
940,SEN,433,2010
941,BEN,434,1960
942,BEN,434,1965
943,BEN,434,1970
944,BEN,434,1975
945,BEN,434,1980
946,BEN,434,1985
947,BEN,434,1990
948,BEN,434,1995
949,BEN,434,2000
950,BEN,434,2005
951,BEN,434,2010
952,MAA,435,1960
953,MAA,435,1965
954,MAA,435,1970
955,MAA,435,1975
956,MAA,435,1980
957,MAA,435,1985
958,MAA,435,1990
959,MAA,435,1995
960,MAA,435,2000
961,MAA,435,2005
962,MAA,435,2010
963,NIR,436,1960
964,NIR,436,1965
965,NIR,436,1970
966,NIR,436,1975
967,NIR,436,1980
968,NIR,436,1985
969,NIR,436,1990
970,NIR,436,1995
971,NIR,436,2000
972,NIR,436,2005
973,NIR,436,2010
974,CDI,437,1960
975,CDI,437,1965
976,CDI,437,1970
977,CDI,437,1975
978,CDI,437,1980
979,CDI,437,1985
980,CDI,437,1990
981,CDI,437,1995
982,CDI,437,2000
983,CDI,437,2005
984,CDI,437,2010
985,GUI,438,1960
986,GUI,438,1965
987,GUI,438,1970
988,GUI,438,1975
989,GUI,438,1980
990,GUI,438,1985
991,GUI,438,1990
992,GUI,438,1995
993,GUI,438,2000
994,GUI,438,2005
995,GUI,438,2010
996,BFO,439,1960
997,BFO,439,1965
998,BFO,439,1970
999,BFO,439,1975
